Greek Council,Greek Organization,Home City,Home State,Home Country,Latitude of Home City,Longitude of Home City,Free and reduced percentage of  High School,Public or Private High School,Domestic or International High School,Boarding/Day High School,Religous High School?,Gender of High School's Students,Tuition of High School,Sports Team,Merit Scholarship
Fraternity,Delta Tau Delta,Chatham,New Jersey,United States,40.740934,-74.383762,Data not available,private,Domestic,Day,Catholic,All-Boys,37900,None,None
None,None,Chengdu,NA,China,30.676555,104.061278,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Chengdu,NA,China,30.676555,104.061278,NA,private,International,Boarding,Unafilliated,Co-Ed,5666.92,None,None
None,None,Cherry Hill,New Jersey,United States,39.934835,-75.030726,0.297933,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Chesapeake,Virginia,United States,36.718371,-76.24668,0.50649932,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Chester,Virginia,United States,40.61312,-80.562848,0.02,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Chester Springs,Pennsylvania,United States,40.095104,-75.616868,Data not available,private,Domestic,Day,Catholic,All-Boys,31200,Men's Lacrosse,None
None,None,Chesterfield,Missouri,United States,38.656057,-90.574203,Data not available,private,Domestic,Day,Catholic,All-Boys,14725,Fooball,None
Fraternity,Chi Psi,Chestnut Hill,Massachusetts,United States,42.330653,-71.162276,0.16879293,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Chi,Chevy Chase,Maryland,United States,38.993207,-77.074383,Data not available,private,Domestic,Boarding,Episcopal,Co-Ed,57500,None,None
None,None,Chicago,Illinois,United States,41.875555,-87.624421,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,59760,None,None
None,None,Chicago,Illinois,United States,41.875555,-87.624421,0.97,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Chicago,Illinois,United States,41.875555,-87.624421,0.86596491,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Chicago,Illinois,United States,41.875555,-87.624421,0.43356009,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Basketball,None
None,None,Chonburi,NA,Thailand,13.365843,100.988962,NA,public,International,Day,Unafilliated,Co-Ed,0,None,None
None,None,Chuncheon,NA,South Korea,37.881468,127.730465,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,54900,None,None
None,None,Cincinnati,Ohio,United States,39.101454,-84.51246,0.15773067,public,Domestic,Day,Unafilliated,Co-Ed,0,Fooball,None
Sorority,Alpha Phi,Clarence,New York,United States,42.976973,-78.592038,0.07636603,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Clarksburg,Maryland,United States,39.238716,-77.279429,0.28,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Clarksville,Maryland,United States,39.206545,-76.942918,0.05496183,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Delta Pi,Clayton,North Carolina,United States,35.650711,-78.456391,0.27247956,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Clemmons,North Carolina,United States,36.021526,-80.381998,NA,private,Domestic,Day,Unafilliated,Co-Ed,21518,None,None
None,None,Clemson,South Carolina,United States,34.685075,-82.836411,0.28156221,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Cleveland,Ohio,United States,41.505161,-81.693445,Data not available,private,Domestic,Day,Unafilliated,All-Girls,29725,None,None
None,None,Clifton,Virginia,United States,38.780591,-77.386835,0.22764227,public,Domestic,Day,Unafilliated,Co-Ed,0,Women's Lacrosse,None
None,None,Clifton Park,New York,United States,42.865633,-73.770953,0.12225405,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Clinton,Maryland,United States,38.765115,-76.898306,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,39699,Women's Basketball,None
None,None,Clovis,California,United States,36.825228,-119.702919,0.1665,public,Domestic,Day,Unafilliated,Co-Ed,0,Baseball,None
None,None,Cockeysville,Maryland,United States,39.484566,-76.650284,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,28960,None,None
None,None,Cockeysville,Maryland,United States,39.484566,-76.650284,0.192,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Track,None
None,None,Coconut Creek,Florida,United States,26.271463,-80.181808,0.68616799,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Alpha Theta,Cold Spring Harbor,New York,United States,40.871487,-73.456788,0.00829875,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Alpha Delta Phi,Colleyville,Texas,United States,32.88096,-97.155012,0.12556255,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Track,None
None,None,Collierville,Tennessee,United States,35.042036,-89.664527,0.28,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Colorado Springs,Colorado,United States,38.833958,-104.825348,0.32048192,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Columbia,Maryland,United States,39.215621,-76.858205,0.35494327,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Columbus,Ohio,United States,39.96226,-83.000706,Data not available,private,Domestic,Day,Catholic,Co-Ed,9180,Fooball,None
None,None,Columbus,Georgia,United States,39.96226,-83.000706,0.19123506,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Kappa Gamma,Columbus,Ohio,United States,39.96226,-83.000706,0,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Zeta Tau Alpha,Columbus,Ohio,United States,32.460976,-84.987709,0,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Concord,New Hampshire,United States,35.408752,-80.579511,Data not available,private,Domestic,Boarding,Episcopal,Co-Ed,56460,Women's Lacrosse,None
None,None,Concord,North Carolina,United States,35.408752,-80.579511,0.43166542,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Concord,North Carolina,United States,43.207106,-71.537022,0.43166542,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Concord,North Carolina,United States,35.408752,-80.579511,NA,private,Domestic,Day,Pentecostal,Co-Ed,6500,None,None
None,None,Conifer,Colorado,United States,39.523342,-105.305499,Data not available,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Conway,Arkansas,United States,35.088696,-92.442101,0.3848,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Coogee,NA,Australia,-32.115081,115.771746,NA,private,International,Day,Catholic,All-Boys,4699.46,None,Robertson
None,None,Copiague,New York,United States,40.684054,-73.40081,0.645,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Coppell,Texas,United States,32.958352,-96.988183,0.09661989,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Coquitlam,NA,Canada,49.283599,-122.794331,NA,public,International,Day,Unafilliated,Co-Ed,0,None,None
None,None,Coral Gables,Florida,United States,25.690552,-80.235009,Data not available,private,Domestic,Day,Catholic,All-Girls,31800,None,None
Sorority,Kappa Kappa Gamma,Coral Gables,Florida,United States,25.690552,-80.235009,Data not available,private,Domestic,Day,Catholic,All-Girls,31800,None,None
None,None,Coral Springs,Florida,United States,26.264856,-80.265342,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,26100,Men's Swimming,None
None,None,Coral Springs,Florida,United States,26.264856,-80.265342,0.2139973,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Cordova,Tennessee,United States,35.155645,-89.776195,Data not available,private,Domestic,Day,Catholic,All-Boys,12750,None,None
None,None,Cordova,Tennessee,United States,35.155645,-89.776195,0.28,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Chi Psi,Cornelius,North Carolina,United States,35.486803,-80.860074,0.16021198,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Pi Kappa Alpha,Corona del Mar,California,United States,32.4979,-117.10339,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,37700,None,None
Sorority,Kappa Kappa Gamma,Corpus Christi,Texas,United States,27.800254,-97.395574,0.6061795,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Delta Pi,Corte Madera,California,United States,37.925481,-122.527475,0.04756171,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Delta Pi,Corte Madera,California,United States,37.925481,-122.527475,0.04756171,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Nu,Cortlandt Manor,New York,United States,41.282198,-73.71417,0.17254408,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Alpha Tau Omega,Cos Cob,Connecticut,United States,41.033431,-73.59957,NA,private,Domestic,Day,Unafilliated,All-Boys,40450,None,None
Fraternity,Kappa Sigma,Coto Laurel,Puerto Rico,United States,18.040362,-66.547664,Data not available,private,Domestic,Day,Catholic,All-Boys,NA,None,None
None,None,Cowpens,South Carolina,United States,35.016792,-81.803992,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,18636,None,None
None,None,Cranbury,New Jersey,United States,40.31622,-74.513764,0.04619226,public,Domestic,Day,Unafilliated,Co-Ed,0,Women's Fencing,None
None,None,Cresskill,New Jersey,United States,40.941487,-73.959304,0.0464,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Crofton,Maryland,United States,39.001777,-76.687467,0.4672,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Cuba City,Wisconsin,United States,42.605555,-90.42985,Data not available,private,Domestic,Day,Catholic,Co-Ed,7100,None,None
None,None,Cupertino,California,United States,37.323011,-122.032252,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,45877,None,None
None,None,Cupertino,California,United States,37.323011,-122.032252,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,45877,None,None
None,None,Cypress,California,United States,33.824824,-118.039937,0.37939698,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Dacula,Georgia,United States,33.988717,-83.897957,0.23915343,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Daegu,NA,South Korea,9.2266,13.043,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,52050,None,None
None,None,Daejeon,NA,South Korea,36.332633,127.384576,NA,private,International,Boarding,Unafilliated,Co-Ed,NA,None,None
None,None,Daejeon,NA,South Korea,36.332633,127.384576,NA,private,International,Boarding,Unafilliated,Co-Ed,NA,None,None
None,None,Dalian,NA,China,38.920716,121.638868,NA,public,International,Day,Unafilliated,Co-Ed,NA,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,21020,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Inter-/Non-denominational,Co-Ed,21020,Wrestling,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,30750,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Episcopal,All-Boys,29496,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Episcopal,Co-Ed,28620,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Episcopal,Co-Ed,27220,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,0.48850358,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Dallas,Texas,United States,32.776272,-96.796856,0.30714602,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Kappa Alpha Order,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,30750,None,None
Fraternity,Kappa Alpha Order,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Episcopal,All-Boys,29496,None,None
Fraternity,Sigma Chi,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Episcopal,All-Boys,29496,None,None
Sorority,Alpha Phi,Dallas,Texas,United States,32.776272,-96.796856,NA,private,Domestic,Day,Unafilliated,All-Girls,29000,None,None
Sorority,Kappa Kappa Gamma,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Unafilliated,All-Girls,29000,None,None
Sorority,Kappa Kappa Gamma,Dallas,Texas,United States,32.776272,-96.796856,Data not available,private,Domestic,Day,Episcopal,Co-Ed,28620,None,None
Fraternity,Kappa Alpha Order,Dallas,Texas,United States,32.776272,-96.796856,Data not available,public,Domestic,Day,Unafilliated,Co-Ed,0,Baseball,AB
Fraternity,Pi Kappa Phi,Dallas,Texas,United States,32.776272,-96.796856,0.13501381,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Phi Epsilon,Dallas,Texas,United States,32.776272,-96.796856,0,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Delta Delta,Darien,Connecticut,United States,41.078708,-73.469287,NA,private,Domestic,Day,Unafilliated,Co-Ed,42770,None,None
None,None,Darien,Connecticut,United States,41.078708,-73.469287,0.01538461,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Chi Omega,Darien,Connecticut,United States,41.078708,-73.469287,0.01538461,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Data not available,NA,South Korea,NA,NA,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,53900,None,None
None,None,Davie,Florida,United States,26.075729,-80.284109,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,31030,Baseball,None
None,None,Davie,Florida,United States,26.075729,-80.284109,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,31030,None,None
None,None,Davie,Florida,United States,26.075729,-80.284109,Data not available,private,Domestic,Day,Catholic,Co-Ed,12250,None,None
None,None,Davie,Florida,United States,26.075729,-80.284109,0.58046511,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Tau Delta,Davie,Florida,United States,26.075729,-80.284109,0.40153207,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Daytona Beach,Florida,United States,29.210815,-81.022833,0.32062523,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Dededo,Guam,United States,13.519054,144.837839,Data not available,private,Domestic,Day,Episcopal,Co-Ed,13100,None,None
None,None,Deerfield,Illinois,United States,42.171137,-87.844512,0.1,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Deerfield Beach,Florida,United States,26.318342,-80.099631,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,28266,None,None
Fraternity,Sigma Alpha Epsilon,Dehra Dun,NA,India,30.325565,78.043681,NA,private,International,Boarding,Unafilliated,All-Boys,15258.1,None,None
None,None,Delray Beach,Florida,United States,26.461463,-80.07282,Data not available,private,Domestic,Day,Episcopal,Co-Ed,41900,None,None
None,None,Demarest,New Jersey,United States,40.957321,-73.963471,Data not available,private,Domestic,Day,Catholic,All-Girls,"16,600",None,None
Fraternity,Delta Sigma Phi,Den Haag,NA,Netherlands,52.074946,4.26968,NA,private,International,Day,Unafilliated,Co-Ed,40166.83,None,None
Sorority,Zeta Tau Alpha,Denton,North Carolina,United States,35.633471,-80.115881,0.51025056,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Denver,Colorado,United States,39.739154,-104.984703,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,25430,None,None
None,None,Denver,Colorado,United States,39.739154,-104.984703,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,25430,None,AB
None,None,Denver,Colorado,United States,39.739154,-104.984703,Data not available,private,Domestic,Day,Catholic,All-Boys,15475,None,None
Fraternity,Pi Kappa Phi,Denver,Colorado,United States,39.739154,-104.984703,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,27330,None,None
None,None,Detroit,Michigan,United States,42.348664,-83.056737,0.45,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Dix Hills,New York,United States,40.804821,-73.33623,Data not available,private,Domestic,Day,Quaker,Co-Ed,34100,None,None
None,None,Dix Hills,New York,United States,40.804821,-73.33623,0.06838656,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Dixmont,Maine,United States,44.680347,-69.162822,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,59640,Women's Soccer,None
None,None,Dover,Massachusetts,United States,42.245931,-71.282834,0.04072398,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Sigma Phi,Dover,Massachusetts,United States,42.245931,-71.282834,Data not available,private,Domestic,Day,Unafilliated,All-Boys,30500,Men's Soccer,None
Sorority,Alpha Delta Pi,Doylestown,Pennsylvania,United States,40.310004,-75.130484,0.03758472,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Alpha Theta,Doylestown,Pennsylvania,United States,40.310004,-75.130484,0.03758472,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Kappa Gamma,Doylestown,Pennsylvania,United States,40.310004,-75.130484,0.03758472,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Dubai,NA,United Arab Emirates,25.268352,55.296196,NA,private,International,Day,Unafilliated,Co-Ed,20223.55,None,None
None,None,Duluth,Georgia,United States,34.002857,-84.144105,0.56,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Duluth,Georgia,United States,34.002857,-84.144105,0.56,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Duluth,Georgia,United States,34.002857,-84.144105,0.31329803,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Duluth,Georgia,United States,34.002857,-84.144105,0.06295525,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Duluth,Georgia,United States,34.002857,-84.144105,0.06295525,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Sigma Phi,Duluth,Georgia,United States,34.002857,-84.144105,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,25800,Men's Soccer,None
Fraternity,Kappa Alpha Order,Duluth,Georgia,United States,34.002857,-84.144105,0.6741573,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Tau Delta,Duluth,Georgia,United States,34.002857,-84.144105,0.06295525,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Dumfries,Virginia,United States,38.56762,-77.328038,0.44394618,public,Domestic,Day,Unafilliated,Co-Ed,0,None,University
None,None,Dunkirk,Maryland,United States,38.721784,-76.660519,0.11725955,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Durham,North Carolina,United States,35.994033,-78.898619,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,59640,None,None
None,None,Durham,North Carolina,United States,35.994033,-78.898619,Data not available,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Durham,North Carolina,United States,35.994033,-78.898619,Data not available,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Durham,North Carolina,United States,35.994033,-78.898619,0.38545454,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Durham,North Carolina,United States,35.994033,-78.898619,0.38545454,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Durham,North Carolina,United States,35.994033,-78.898619,0.18954248,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Alpha Phi,Durham,North Carolina,United States,35.994033,-78.898619,NA,private,Domestic,Day,Unafilliated,Co-Ed,24040,None,None
Sorority,Gamma Phi Beta,Durham,North Carolina,United States,35.994033,-78.898619,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,24040,None,None
Fraternity,Kappa Sigma,Durham,North Carolina,United States,35.994033,-78.898619,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,24040,None,None
Fraternity,Sigma Alpha Epsilon,Durham,North Carolina,United States,35.994033,-78.898619,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,24040,None,None
Fraternity,Kappa Alpha Order,Durham,North Carolina,United States,35.994033,-78.898619,0.52843732,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Delta Sigma Phi,Durham,North Carolina,United States,35.994033,-78.898619,0.41341991,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Soccer,None
Sorority,Zeta Tau Alpha,Durham,North Carolina,United States,35.994033,-78.898619,0.41341991,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Alpha Theta,Durham,North Carolina,United States,35.994033,-78.898619,0.38545454,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Earlysville,Virginia,United States,38.157634,-78.48279,Data not available,private,Domestic,Day,Quaker,Co-Ed,22600,Women's Fencing,None
None,None,Easley,South Carolina,United States,34.826928,-82.581705,0.3873824,public,Domestic,Day,Unafilliated,Co-Ed,0,Fooball,None
Sorority,Kappa Kappa Gamma,East Amherst,New York,United States,43.018391,-78.696697,Data not available,private,Domestic,Day,Catholic,All-Girls,14800,None,None
Sorority,Alpha Phi,East Brunswick,New Jersey,United States,40.427884,-74.415984,0.1453382,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,East Elmhurst,New York,United States,40.761212,-73.865136,0.473666777,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Alpha Theta,East Greenwich,Rhode Island,United States,41.660379,-71.455891,Data not available,private,Domestic,Day,Quaker,Co-Ed,34385,None,None
Fraternity,Pi Kappa Alpha,East Northport,New York,United States,40.876765,-73.324561,0.16494845,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Pi Beta Phi,East Rockaway,New York,United States,40.642048,-73.669575,0.10375275,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,East Setauket,New York,United States,40.941843,-73.105856,0.07069616,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Kappa Gamma,Easton,Maryland,United States,38.774283,-76.07633,Data not available,private,Domestic,Day,Catholic,Co-Ed,12750,None,None
None,None,Ebute Metta,NA,Nigeria,6.486255,3.385612,NA,private,International,Boarding,Unafilliated,Co-Ed,30900,None,Robertson
Fraternity,Chi Psi,Eden Prairie,Minnesota,United States,44.854686,-93.470786,0.17392761,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Chi,Eden Prairie,Minnesota,United States,44.854686,-93.470786,0.17392761,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Zeta Tau Alpha,Eden Prairie,Minnesota,United States,44.854686,-93.470786,0.17392761,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Edina,Minnesota,United States,44.889703,-93.350122,0.08291708,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Edinboro,Pennsylvania,United States,41.874223,-80.131724,0.27994616,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Edinburg,Texas,United States,26.301398,-98.16245,0.83449235,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Kappa Kappa Gamma,Edinburgh,NA,United Kingdom,55.949563,-3.191497,NA,private,International,Day,Unafilliated,Co-Ed,36413.77,None,None
None,None,Edison,New Jersey,United States,40.538238,-74.394517,0.18801843,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Edison,New Jersey,United States,40.538238,-74.394517,0.18801843,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Edmond,Oklahoma,United States,35.657137,-97.464904,0.27252353,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Eight Mile,Alabama,United States,30.763521,-88.126946,Data not available,private,Domestic,Day,Episcopal,Co-Ed,11628,Fooball,None
None,None,El Paso,Texas,United States,31.811131,-106.501349,Data not available,private,Domestic,Day,Catholic,All-Boys,6680,None,None
None,None,Elgin,Texas,United States,30.349351,-97.370576,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,17695,None,AB
None,None,Elk Grove,California,United States,38.408799,-121.371618,0.2393,public,Domestic,Day,Unafilliated,Co-Ed,0,Fooball,None
None,None,Elkridge,Maryland,United States,39.212834,-76.713715,Data not available,private,Domestic,Day,Catholic,All-Boys,15200,Men's Soccer,None
None,None,Elkridge,Maryland,United States,39.212834,-76.713715,Data not available,private,Domestic,Day,Catholic,Co-Ed,19550,Women's Soccer,None
None,None,Ellicott City,Maryland,United States,39.267328,-76.798307,0.05496183,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Pi Beta Phi,Elm City,North Carolina,United States,35.806546,-77.863315,0.45877862,public,Domestic,Day,Unafilliated,Co-Ed,0,Women's Soccer,None
Sorority,Pi Beta Phi,Elmhurst,Illinois,United States,41.899475,-87.940342,0.17850502,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Delta Gamma,Encinitas,California,United States,33.036987,-117.291982,0.075,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Encino,California,United States,34.159132,-118.501617,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,38925,None,None
None,None,Enfield,Connecticut,United States,41.976208,-72.591755,0.19,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Englewood,Colorado,United States,39.648206,-104.987964,0.12293211,public,Domestic,Day,Unafilliated,Co-Ed,0,None,Reggie
None,None,Escazu,NA,Costa Rica,9.917358,-84.141072,NA,private,International,Day,Unafilliated,Co-Ed,10750,None,None
None,None,Essex Junction,Vermont,United States,44.490605,-73.11096,NA,public,Domestic,Day,Unafilliated,Co-Ed,7416.48,None,None
None,None,Eugene,Oregon,United States,44.101181,-123.152384,0.25156794,public,Domestic,Day,Unafilliated,Co-Ed,0,Men's Track,None
None,None,Eureka,Missouri,United States,38.502554,-90.627904,0.08902691,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Chi Psi,Eureka,Missouri,United States,38.502554,-90.627904,0.08902691,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Evanston,Illinois,United States,42.044739,-87.693046,0.41623376,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Excelsior,Minnesota,United States,44.903296,-93.566345,Data not available,private,Domestic,Day,Unafilliated,Co-Ed,29025,Women's Lacrosse,None
Fraternity,Kappa Sigma,Eyuep,NA,Turkey,41.165287,28.883045,NA,private,International,Day,Unafilliated,Co-Ed,18598.25,None,None
Sorority,Kappa Kappa Gamma,Fair Haven,New Jersey,United States,40.360665,-74.038195,0.00319829,public,Domestic,Day,Unafilliated,Co-Ed,0,Women's Soccer,None
None,None,Fair Oaks,California,United States,39.378498,-123.341398,0.4326,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Fairfax,Virginia,United States,38.846224,-77.306373,0.11616818,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Fairfax,Virginia,United States,38.846224,-77.306373,0.10064935,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Fairfax,Virginia,United States,38.846224,-77.306373,0.01813186,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Fairfax,Virginia,United States,38.846224,-77.306373,0.01813186,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Sorority,Gamma Phi Beta,Fairfax,Virginia,United States,38.846224,-77.306373,0.10092514,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
Fraternity,Sigma Nu,Fairfield,Connecticut,United States,40.88371,-74.305982,Data not available,private,Domestic,Boarding,Unafilliated,Co-Ed,62190,None,None
None,None,Fairfield,Ohio,United States,41.294307,-73.37486,0.31074227,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
None,None,Fairfield,Connecticut,United States,38.249358,-122.039966,0.14147018,public,Domestic,Day,Unafilliated,Co-Ed,0,None,None
